game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
2017020002,8469501,19,521,0,0,1,2,0,0,0,0,0,0,0,0,0,0,-1,521,0,0
2017020002,8471724,5,1565,0,0,2,1,0,0,0,0,0,2,5,0,0,1,-2,1147,131,287
2017020002,8471817,5,381,0,0,1,2,0,0,0,1,1,0,0,0,0,2,0,381,0,0
2017020002,8474602,5,1165,0,1,4,0,0,0,0,0,0,0,1,0,0,0,1,1073,0,92
2017020002,8475735,5,907,1,0,1,0,0,0,0,13,17,0,0,0,0,0,0,751,116,40
2017020002,8475208,5,1295,0,0,2,1,0,0,0,0,0,0,0,0,0,1,-1,1158,97,40
2017020002,8471675,5,1419,1,1,2,0,1,0,4,15,28,0,0,0,0,2,-1,1080,0,339
2017020002,8477839,5,1031,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,991,0,40
2017020002,8471436,5,978,0,0,2,2,0,0,0,0,0,0,1,0,0,2,-1,787,191,0
2017020002,8477404,5,1337,2,0,0,0,0,1,2,1,1,0,0,0,0,0,-1,998,0,339
2017020002,8473548,5,1122,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,783,0,339
2017020002,8475810,5,896,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,753,103,40
2017020002,8475832,5,785,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,699,86,0
2017020002,8471215,5,1197,2,0,3,0,0,1,0,4,10,0,0,0,0,0,0,858,0,339
2017020002,8476874,5,968,0,1,4,1,0,0,2,0,0,0,2,0,0,0,2,968,0,0
2017020002,8474013,5,940,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,715,225,0
2017020002,8474176,5,879,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,761,118,0
2017020002,8476293,5,437,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,337,100,0
2017020002,8477240,5,484,0,0,0,5,0,0,0,6,10,0,0,0,0,0,0,363,121,0
2017020003,8470966,20,1357,0,0,4,1,0,0,0,0,0,3,2,0,0,3,0,1139,165,53
2017020003,8474628,20,1101,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1026,75,0
2017020003,8474749,20,814,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,814,0,0
2017020003,8475907,20,935,0,0,4,3,0,0,0,0,1,1,0,0,0,0,-1,884,8,43
2017020003,8477903,20,661,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,623,38,0
2017020003,8477935,20,910,0,0,0,1,0,0,0,6,15,0,0,0,0,1,-2,872,38,0
2017020003,8473564,20,1074,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,893,128,53
2017020003,8470854,20,561,0,0,0,3,0,0,5,0,0,0,0,0,0,0,-1,561,0,0
2017020003,8471426,20,928,0,0,0,2,0,0,0,0,1,0,2,0,0,0,-2,840,88,0
2017020003,8471346,20,849,0,0,4,0,0,0,0,0,1,1,1,0,0,2,-2,782,0,67
2017020003,8474612,20,1183,0,0,0,0,0,0,0,0,0,1,1,0,0,2,-3,1018,165,0
2017020003,8474673,20,1429,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-3,1287,75,67
2017020003,8474150,20,1067,0,0,1,4,0,0,0,13,19,1,0,0,0,1,0,908,106,53
2017020003,8476346,20,1103,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-1,1036,0,67
2017020003,8479314,20,961,0,0,2,1,0,0,2,0,0,1,1,0,0,0,0,884,0,77
2017020003,8477497,20,994,0,0,4,0,0,0,0,8,16,0,2,0,0,1,0,919,8,67
2017020003,8476462,20,1266,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1213,0,53
2017020003,8470162,20,630,0,0,1,2,0,0,0,2,7,1,1,0,0,1,-1,564,66,0
2017020003,8469638,22,869,0,0,2,1,0,0,0,1,2,3,0,0,0,2,0,787,24,58
2017020003,8473914,22,565,0,0,3,0,0,0,0,4,7,1,0,0,0,0,0,375,57,133
2017020003,8471729,22,1056,0,0,3,1,0,0,2,0,0,0,0,0,0,7,0,1047,0,9
2017020003,8473468,22,1076,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,1043,33,0
2017020003,8476915,22,594,0,0,0,3,0,0,0,5,5,0,0,0,0,0,0,566,19,9
2017020003,8476457,22,1227,0,0,2,3,0,0,0,0,0,0,3,0,0,2,3,1151,66,10
2017020003,8476458,22,962,0,0,2,1,0,0,0,7,14,1,0,0,0,0,0,864,0,98
2017020003,8477934,22,1228,2,0,5,0,0,0,0,9,16,1,2,0,0,0,3,1095,0,133
2017020003,8479977,22,393,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,393,0,0
